, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0876,0.0916,0.0919,0.0974,0.0913,0.0985,0.0983,0.0955,0.0999,0.0874,0.0927,0.0823,OD600:600
B,0.0951,0.5814,0.7290,0.7773,0.6062,0.6616,0.6501,0.7782,0.7363,0.6503,0.1103,0.1018,OD600:600
C,0.0991,0.4429,0.6605,0.8785,0.6782,0.6475,0.6598,0.8751,0.9034,0.8929,0.3312,0.1026,OD600:600
D,0.0966,0.2863,0.5577,0.5472,0.3507,0.3845,0.3897,0.4656,0.5951,0.4885,0.3570,0.1055,OD600:600
E,0.1154,0.2015,0.4081,0.3747,0.3573,0.3071,0.3069,0.3253,0.3388,0.3711,0.3298,0.1379,OD600:600
F,0.1043,0.1681,0.3726,0.3191,0.3102,0.3413,0.2963,0.3168,0.3443,0.3239,0.2790,0.3297,OD600:600
G,0.1024,0.1613,0.3835,0.3538,0.2763,0.2844,0.2618,0.2203,0.2842,0.3163,0.3228,0.2217,OD600:600
H,0.0972,0.2501,0.1430,0.1183,0.1078,0.1183,0.1162,0.1212,0.1144,0.1178,0.1042,0.0842,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2100,0000,1900,0000,2000,0000,0000,0000,6000,4000,0000,0000,479,520
B,0000,8140,9230,9170,0000,3000,0000,5680,5800,5500,5000,7000,479,520
C,1000,5910,4980,3110,0000,0000,1500,1990,1880,2160,1600,4000,479,520
D,0000,3700,2080,1420,0000,7000,0000,9300,8300,9900,1100,0000,479,520
E,1300,1980,9800,4700,0000,5000,0000,2300,2800,1000,1000,1000,479,520
F,4000,1900,6400,3600,0000,0000,7000,1200,2300,1500,4000,0000,479,520
G,2000,4200,3100,2100,0000,0000,6000,2900,9000,7000,1000,8000,479,520
H,1000,0000,3000,2000,1000,0000,1300,3000,0000,0000,8000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1200,4000,1500,2000,3500,0000,2900,1100,3900,2500,0000,4000,579,616
B,2400,4100,5900,7900,12043,11697,11414,4459,4591,4547,9000,2600,579,616
C,2000,1500,3700,3300,3275,3542,3074,1274,1378,1588,1300,2700,579,616
D,5000,3000,1000,6000,1799,1853,1872,6910,5610,7830,1400,3000,579,616
E,1200,0000,1600,6000,7760,6610,6150,2060,2340,2570,0000,6000,579,616
F,0000,1500,0000,2000,4230,4160,5030,1420,1370,1990,2500,9000,579,616
G,2100,3600,1700,0000,1320,1710,1640,1050,1250,7400,0000,1200,579,616
H,2300,1700,1000,3200,1400,1800,9000,8000,0000,5500,2200,0000,579,616
