, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.1021,0.1209,0.0830,0.0921,0.0868,0.0936,0.0980,0.0989,0.0995,0.1088,0.0950,0.0813,OD600:600
B,0.0872,0.9696,1.2045,1.2794,1.0962,1.0969,1.0832,1.2745,1.2345,1.2275,0.1051,0.0956,OD600:600
C,0.1002,0.9037,0.9202,0.9768,0.8208,0.8218,0.8110,0.9840,0.9636,0.9846,0.1040,0.0972,OD600:600
D,0.0947,0.4349,0.4367,0.6788,0.5564,0.5563,0.5972,0.7292,0.7557,0.6613,0.1258,0.1005,OD600:600
E,0.0870,0.2739,0.2753,0.3026,0.4087,0.4499,0.4547,0.4862,0.4854,0.4952,0.2750,0.0993,OD600:600
F,0.0940,0.2108,0.2172,0.3295,0.3382,0.3810,0.3929,0.4411,0.4182,0.4314,0.3296,0.1012,OD600:600
G,0.1014,0.1458,0.1397,0.1593,0.1572,0.1583,0.1561,0.1739,0.1579,0.1515,0.1054,0.1006,OD600:600
H,0.0831,0.1340,0.1330,0.0990,0.0997,0.0998,0.1038,0.0976,0.0999,0.0977,0.0960,0.0850,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1000,1070,2300,1100,0000,3000,0000,1600,5000,1400,0000,2000,479,520
B,0000,1907,2152,2336,5000,2600,1200,1682,1715,1635,2000,6000,479,520
C,0000,1490,1620,1634,1200,3000,1000,1123,1156,1167,0000,5000,479,520
D,0000,7040,6930,8090,6000,9000,3000,2730,4120,4530,0000,0000,479,520
E,1200,3560,3990,2690,1100,0000,0000,8500,9400,9700,1100,0000,479,520
F,1700,2650,2590,2260,0000,0000,2000,4700,7500,6600,6000,0000,479,520
G,0000,5600,9300,8400,0000,5000,1800,4800,5200,5400,0000,1100,479,520
H,2100,8600,9000,6000,4000,0000,0000,1000,4000,1500,0000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,4300,2700,1300,1100,9000,0000,1400,2900,2000,8000,2300,1800,579,616
B,8000,4100,9900,8700,28111,28036,27915,8372,8204,8229,2600,2600,579,616
C,0000,1200,5200,6300,19998,18235,18875,6076,6490,6168,7000,0000,579,616
D,3000,3000,3400,4000,6287,4368,4180,1552,2138,2476,2200,2000,579,616
E,0000,4000,1400,1200,2674,2252,1836,4340,6040,5370,1000,2100,579,616
F,1900,2400,3100,4000,2165,1353,1244,2640,2900,2760,0000,6000,579,616
G,4000,1600,2500,3000,8960,6440,7210,1490,2180,2390,2500,2600,579,616
H,0000,2900,0000,7000,2000,0000,1800,2400,2500,0000,2700,0000,579,616
