parameter,value
v1_1,0.4
v1_2,0.2
v2_1,0.18
K1_1,0.02
K1_2,0.2
K2_1,0.02
K1_O,0.05
kla_1,0.6
osat_1,8
q1_O,0.0005
M1,10
M2,10
q1_1,0.1
q1_2,0.1
q2_1,0.1
D,0.1
u1_1,0.7
Kt1_1,0.03
a1_1,1
t1_1,10
A1,0.02


