,Data File,Type,Level,Acq. Date-Time,Norvaline Results,Succinate Results,Norleucine Results,Ribose Results,Glucose_1 Results,Glucose_2 Results,Sorbitol Results,Sugar Results
A04_P1_Oa_3_75000_0_00000_T0,A04_P1_Oa_3_75000_0_00000_T0.D,Sample,,2/26/2026 13:57,1057333.0,2426683,1264774,23.0,112,25.0,971960,
H06_P1_FM_0_00000_0_00008_T0,H06_P1_FM_0_00000_0_00008_T0.D,Sample,,2/26/2026 14:32,843790.0,353,927037,16.0,2046,93.0,733411,19.0
A06_P1_FM_0_00000_2_50000_T0,A06_P1_FM_0_00000_2_50000_T0.D,Sample,,2/26/2026 15:08,1023386.0,285,1152257,28574.0,7518094,1241885.0,1034509,67400.0
E06_P2_FM_0_00000_0_00488_T0,E06_P2_FM_0_00000_0_00488_T0.D,Sample,,2/26/2026 15:46,1150136.0,430,1285263,54.0,6937,1183.0,1024959,51.0
C06_P2_FM_0_00000_0_15625_T0,C06_P2_FM_0_00000_0_15625_T0.D,Sample,,2/26/2026 16:21,1089658.0,220,1230831,1430.0,276303,33608.0,1062004,2414.0
D04_P1_Oa_3_75000_0_00000_T3,D04_P1_Oa_3_75000_0_00000_T3.D,Sample,,2/26/2026 16:57,1247377.0,679,1418066,13.0,316,12.0,1150950,27.0
F01_P2_At_3_75000_2_50000_T5,F01_P2_At_3_75000_2_50000_T5.D,Sample,,2/26/2026 17:32,1016022.0,1164,1119348,23506.0,7073491,1154765.0,1026260,58687.0
H02_P1_At_0_00000_2_50000_T7,H02_P1_At_0_00000_2_50000_T7.D,Sample,,2/26/2026 18:08,836424.0,387,939520,,1722,138.0,705962,35.0
E07_P2_AtOa_3_75000_2_50000_T4,E07_P2_AtOa_3_75000_2_50000_T4.D,Sample,,2/26/2026 18:43,943854.0,131,1051685,,133,31.0,835267,50.0
A09_P1_none_0_00000_0_00000_none,A09_P1_none_0_00000_0_00000_none.D,Sample,,2/26/2026 19:19,2899.0,164,2093,19.0,126,17.0,48,18.0
C08_P1_AtOa_0_00000_2_50000_T2,C08_P1_AtOa_0_00000_2_50000_T2.D,Sample,,2/26/2026 19:54,1514.0,39,1226,,83,,12,26.0
C04_P1_Oa_3_75000_0_00000_T2,C04_P1_Oa_3_75000_0_00000_T2.D,Sample,,2/26/2026 20:30,818308.0,336,907269,16.0,281,46.0,796826,
G03_P2_FM_0_00046_0_00000_T0,G03_P2_FM_0_00046_0_00000_T0.D,Sample,,2/26/2026 21:07,789081.0,465,909239,43.0,4142,686.0,665343,
F07_P2_AtOa_3_75000_2_50000_T5,F07_P2_AtOa_3_75000_2_50000_T5.D,Sample,,2/26/2026 21:43,917383.0,572,1025965,17560.0,6169685,997877.0,927311,41956.0
B09_P2_none_0_00000_0_00000_none,B09_P2_none_0_00000_0_00000_none.D,Sample,,2/26/2026 22:19,973186.0,384,1093487,5229.0,1387315,185760.0,911460,9467.0
A09_P2_none_0_00000_0_00000_none,A09_P2_none_0_00000_0_00000_none.D,Sample,,2/26/2026 22:54,405685.0,300,432643,18923.0,5678372,892712.0,413476,43514.0
H05_P2_OaC2_3_75000_2_50000_T7,H05_P2_OaC2_3_75000_2_50000_T7.D,Sample,,2/26/2026 23:30,969638.0,284,1091841,22828.0,6707552,1082131.0,968111,54355.0
F07_P1_AtOa_3_75000_0_00000_T5,F07_P1_AtOa_3_75000_0_00000_T5.D,Sample,,2/27/2026 0:05,799955.0,330,892567,,1010,175.0,696292,65.0
C01_P2_At_3_75000_2_50000_T2,C01_P2_At_3_75000_2_50000_T2.D,Sample,,2/27/2026 0:41,1024194.0,343,1155177,49610.0,13528851,2493098.0,1012613,159255.0
B06_P2_FM_0_00000_0_62500_T0,B06_P2_FM_0_00000_0_62500_T0.D,Sample,,2/27/2026 1:16,988317.0,613,1125085,25.0,781,57.0,884990,13.0
A08_P1_AtOa_0_00000_2_50000_T0,A08_P1_AtOa_0_00000_2_50000_T0.D,Sample,,2/27/2026 1:52,1032439.0,212,1139872,,284,10.0,914476,66.0
B05_P1_Oa_0_00000_2_50000_T1,B05_P1_Oa_0_00000_2_50000_T1.D,Sample,,2/27/2026 2:27,848669.0,359,975251,,195,20.0,674020,57.0
F06_P1_FM_0_00000_0_00122_T0,F06_P1_FM_0_00000_0_00122_T0.D,Sample,,2/27/2026 3:05,1034950.0,472,1164830,26148.0,7714549,1286091.0,1057609,73551.0
B01_P1_At_3_75000_0_00000_T1,B01_P1_At_3_75000_0_00000_T1.D,Sample,,2/27/2026 3:40,481797.0,187,541289,37.0,621,118.0,428844,75.0
D02_P2_AtC2_3_75000_2_50000_T3,D02_P2_AtC2_3_75000_2_50000_T3.D,Sample,,2/27/2026 4:16,821280.0,84603,974734,44.0,318,14.0,712631,56.0
G02_P2_AtC2_3_75000_2_50000_T6,G02_P2_AtC2_3_75000_2_50000_T6.D,Sample,,2/27/2026 4:51,929868.0,371,1050181,46533.0,13348765,2473297.0,914122,149549.0
D07_P1_AtOa_3_75000_0_00000_T3,D07_P1_AtOa_3_75000_0_00000_T3.D,Sample,,2/27/2026 5:27,1018718.0,500,1149900,23289.0,6616769,1056196.0,1031372,53740.0
E05_P1_Oa_0_00000_2_50000_T4,E05_P1_Oa_0_00000_2_50000_T4.D,Sample,,2/27/2026 6:02,878609.0,301,983087,19542.0,5969217,943705.0,889859,46468.0
F04_P1_Oa_3_75000_0_00000_T5,F04_P1_Oa_3_75000_0_00000_T5.D,Sample,,2/27/2026 6:38,927409.0,323,1021740,20625.0,5995680,944419.0,935269,49979.0
C03_P2_FM_0_23438_0_00000_T0,C03_P2_FM_0_23438_0_00000_T0.D,Sample,,2/27/2026 7:14,756483.0,1606,840825,13.0,500,8.0,626773,
A01_P1_At_3_75000_0_00000_T0,A01_P1_At_3_75000_0_00000_T0.D,Sample,,2/27/2026 7:49,906136.0,379,1010214,17290.0,5809945,923492.0,899886,42674.0
C05_P1_Oa_0_00000_2_50000_T2,C05_P1_Oa_0_00000_2_50000_T2.D,Sample,,2/27/2026 8:25,504482.0,130,552586,16373.0,4841187,742815.0,476001,38080.0
E01_P2_At_3_75000_2_50000_T4,E01_P2_At_3_75000_2_50000_T4.D,Sample,,2/27/2026 9:00,1015495.0,496,1138214,42199.0,12269683,2204761.0,1050687,131762.0
G08_P1_AtOa_0_00000_2_50000_T6,G08_P1_AtOa_0_00000_2_50000_T6.D,Sample,,2/27/2026 9:36,1066901.0,264,1199407,82428.0,20666197,4359373.0,1092974,305690.0
E03_P2_FM_0_00732_0_00000_T0,E03_P2_FM_0_00732_0_00000_T0.D,Sample,,2/27/2026 10:13,799184.0,1353661,1008843,18397.0,5888418,933798.0,822956,47066.0
B01_P2_At_3_75000_2_50000_T1,B01_P2_At_3_75000_2_50000_T1.D,Sample,,2/27/2026 10:49,1003940.0,1282,1124533,23706.0,6977370,1126597.0,1039897,60457.0
D08_P1_AtOa_0_00000_2_50000_T3,D08_P1_AtOa_0_00000_2_50000_T3.D,Sample,,2/27/2026 11:24,908841.0,204,1011307,16017.0,4725931,719151.0,954273,36840.0
H01_P1_At_3_75000_0_00000_T7,H01_P1_At_3_75000_0_00000_T7.D,Sample,,2/27/2026 12:00,973581.0,619,1071041,92474.0,20042839,4122440.0,1019859,342398.0
A01_P2_At_3_75000_2_50000_T0,A01_P2_At_3_75000_2_50000_T0.D,Sample,,2/27/2026 12:35,999531.0,99834,1176109,171.0,14708,2344.0,872738,146.0
B04_P2_Oa_3_75000_2_50000_T1,B04_P2_Oa_3_75000_2_50000_T1.D,Sample,,2/27/2026 13:11,118507.0,2157097,163261,22055.0,6940654,1126446.0,88009,60176.0
F05_P1_Oa_0_00000_2_50000_T5,F05_P1_Oa_0_00000_2_50000_T5.D,Sample,,2/27/2026 13:46,859483.0,1826,958378,35.0,467,66.0,832655,
H08_P1_AtOa_0_00000_2_50000_T7,H08_P1_AtOa_0_00000_2_50000_T7.D,Sample,,2/27/2026 14:22,962891.0,798,1083192,23680.0,7173756,1171061.0,1018646,59767.0
E02_P1_At_0_00000_2_50000_T4,E02_P1_At_0_00000_2_50000_T4.D,Sample,,2/27/2026 14:58,1073119.0,448,1208381,,668,67.0,939099,72.0
