id,sample_name,fname,norvaline_area,succinate_area,norleucine_area,glucose1_area,glucose2_area,sorbitol_area,ribose_area,glucose_area,glucose_area_normalized,succinate_area_normalized,ribose_area_normalized
P2F04,F04_P2_Oa_3.75000_2.50000_T5,F04_P2_Oa_3_75000_2_50000_T5.D,947722,678,1058857,461,8.0,903396,45.0,469.0,0.0005191521768969533,0.0007153996636144355,4.9812042559409166e-05
P1B03,B03_P1_FM_0.93750_0.00000_T0,B03_P1_FM_0_93750_0_00000_T0.D,1065690,521061,1266583,124088,16007.0,998523,804.0,140095.0,0.14030222638837564,0.48894237536244123,0.0008051892645437311
P1D01,D01_P1_At_3.75000_0.00000_T3,D01_P1_At_3_75000_0_00000_T3.D,1005542,497,1118170,13789158,2571546.0,1050595,57183.0,16360704.0,15.5727982714557,0.0004942608066097686,0.054429156811140356
P1G03,G03_P1_FM_0.00046_0.00000_T0,G03_P1_FM_0_00046_0_00000_T0.D,1078104,693,1205542,1761,359.0,969575,41.0,2120.0,0.002186525023850656,0.0006427951292268649,4.22865688574891e-05
P2H07,H07_P2_AtOa_3.75000_2.50000_T7,H07_P2_AtOa_3_75000_2_50000_T7.D,1095211,335,1199343,371,44.0,1056445,46.0,415.0,0.00039282688639730417,0.00030587713235166557,4.354225728741203e-05
P2C02,C02_P2_AtC2_3.75000_2.50000_T2,C02_P2_AtC2_3_75000_2_50000_T2.D,1092273,351,1229050,246,14.0,939159,22.0,260.0,0.0002768434311974863,0.00032134823436997894,2.3425213409018068e-05
P1G02,G02_P1_At_0.00000_2.50000_T6,G02_P1_At_0_00000_2_50000_T6.D,1005219,641,1112486,21973311,4755886.0,1063062,118226.0,26729197.0,25.14359181308334,0.0006376719898847912,0.11121270443304342
P1F07,F07_P1_AtOa_3.75000_0.00000_T5,E07_P1_AtOa_3_75000_0_00000_T4.D,1035460,429,1172021,1354,62.0,910975,16.0,1416.0,0.0015543785504541837,0.00041430861646031715,1.7563599440160267e-05
P2C07,C07_P2_AtOa_3.75000_2.50000_T2,C07_P2_AtOa_3_75000_2_50000_T2.D,1019182,385,1150345,1041865,136151.0,999143,4287.0,1178016.0,1.1790264256467793,0.00037775392422550633,0.004290677110283513
P1A04,A04_P1_Oa_3.75000_0.00000_T0,A04_P1_Oa_3_75000_0_00000_T0.D,1057333,2426683,1264774,112,25.0,971960,23.0,137.0,0.00014095230256389152,2.2950981384294256,2.366352524795259e-05
P1H06,H06_P1_FM_0.00000_0.00008_T0,H06_P1_FM_0_00000_0_00008_T0.D,843790,353,927037,2046,93.0,733411,16.0,2139.0,0.0029165092969699116,0.00041835053745600207,2.1815871319083023e-05
P1A06,A06_P1_FM_0.00000_2.50000_T0,A06_P1_FM_0_00000_2_50000_T0.D,1023386,285,1152257,7518094,1241885.0,1034509,28574.0,8759979.0,8.467764901030344,0.0002784872960935561,0.02762083268487756
P2E06,E06_P2_FM_0.00000_0.00488_T0,E06_P2_FM_0_00000_0_00488_T0.D,1150136,430,1285263,6937,1183.0,1024959,54.0,8120.0,0.007922268110236604,0.0003738688294253897,5.268503423063752e-05
P2C06,C06_P2_FM_0.00000_0.15625_T0,C06_P2_FM_0_00000_0_15625_T0.D,1089658,220,1230831,276303,33608.0,1062004,1430.0,309911.0,0.2918171682969179,0.0002018982102641379,0.0013465109359286783
P1D04,D04_P1_Oa_3.75000_0.00000_T3,D04_P1_Oa_3_75000_0_00000_T3.D,1247377,679,1418066,316,12.0,1150950,13.0,328.0,0.00028498197141491814,0.0005443422477727263,1.1295017159737608e-05
P2F01,F01_P2_At_3.75000_2.50000_T5,F01_P2_At_3_75000_2_50000_T5.D,1016022,1164,1119348,7073491,1154765.0,1026260,23506.0,8228256.0,8.017710911464931,0.0011456444840761322,0.022904527117884356
P2G03,G03_P2_FM_0.00046_0.00000_T0,H02_P1_At_0_00000_2_50000_T7.D,836424,387,939520,1722,138.0,705962,,1860.0,0.002634702717710018,0.0004626839975897392,
P2F07,F07_P2_AtOa_3.75000_2.50000_T5,E07_P2_AtOa_3_75000_2_50000_T4.D,943854,131,1051685,133,31.0,835267,,164.0,0.00019634440244855835,0.00013879265225342054,
P2B09,B09_P2_none_0.00000_0.00000_none,A09_P1_none_0_00000_0_00000_none.D,2899,164,2093,126,17.0,48,19.0,143.0,2.9791666666666665,0.056571231459123836,0.3958333333333333
P2A09,A09_P2_none_0.00000_0.00000_none,C08_P1_AtOa_0_00000_2_50000_T2.D,1514,39,1226,83,,12,,83.0,6.916666666666667,0.025759577278731835,
P2H05,H05_P2_OaC2_3.75000_2.50000_T7,C04_P1_Oa_3_75000_0_00000_T2.D,818308,336,907269,281,46.0,796826,16.0,327.0,0.0004103781754109429,0.0004106033425067334,2.007966607515317e-05
P1E07,E07_P1_AtOa_3.75000_0.00000_T4,G03_P2_FM_0_00046_0_00000_T0.D,789081,465,909239,4142,686.0,665343,43.0,4828.0,0.007256407597284408,0.0005892931143951001,6.462831952842369e-05
