in,id,sample_name,fname,norvaline_area,succinate_area,norleucine_area,glucose1_area,glucose2_area,sorbitol_area,glucose_area,glucose_area_normalized,succinate_area_normalized,plate,well,row,col,glucose_ratio,succinate_ratio,exp_glucose,exp_succinate,is_blankcol,thr_glucose,thr_succinate,glucose_present,succinate_present,mixup_flag,reasons
21,P1E06,E06_P1_FM_0.00000_0.00488_T0,E06_P1_FM_0_00000_0_00488_T0.D,871617.0,342.0,1034698.0,3549,608.0,835902,4157.0,0.0047692966061928,0.0003923741735188,P1,E06,E,6,0.004973071005931317,0.00039237417351887355,True,False,False,,,False,False,True,glucose_presence_mismatch
22,P2D01,D01_P2_At_3.75000_2.50000_T3,D01_P2_At_3_75000_2_50000_T3.D,912760.0,651.0,1098761.0,6610064,1074509.0,991671,7684573.0,8.41905101012314,0.0007132214382751,P2,D01,D,1,7.749115382016818,0.0007132214382751216,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
23,P2B02,B02_P2_AtC2_3.75000_2.50000_T1,B02_P2_AtC2_3_75000_2_50000_T1.D,1042602.0,301.0,1178918.0,292889,35081.0,962526,327970.0,0.314568742434793,0.0002887007698047,P2,B02,B,2,0.3407388475739876,0.0002887007698047769,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
24,P1C07,C07_P1_AtOa_3.75000_0.00000_T2,C07_P1_AtOa_3_75000_0_00000_T2.D,966280.0,504.0,1083306.0,70697,9922.0,861044,80619.0,0.0834323384526224,0.000521587945523,P1,C07,C,7,0.09362936156572718,0.0005215879455230368,False,True,False,,,False,False,True,succinate_presence_mismatch
25,P2F04,F04_P2_Oa_3.75000_2.50000_T5,F04_P2_Oa_3_75000_2_50000_T5.D,945095.0,276.0,1052682.0,461,8.0,903396,469.0,0.0004962464090911,0.0002920341341346,P2,F04,F,4,0.0005191521768969533,0.0002920341341346637,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
26,P1B03,B03_P1_FM_0.93750_0.00000_T0,B03_P1_FM_0_93750_0_00000_T0.D,1052294.0,509844.0,1256891.0,124088,16007.0,998523,140095.0,0.133132945735697,0.484507181453092,P1,B03,B,3,0.14030222638837564,0.484507181453092,False,True,False,,,False,False,True,succinate_presence_mismatch
27,P1D01,D01_P1_At_3.75000_0.00000_T3,D01_P1_At_3_75000_0_00000_T3.D,999161.0,388.0,1114708.0,13789158,2571546.0,1050595,16360704.0,16.3744421569697,0.0003883258053506,P1,D01,D,1,15.5727982714557,0.0003883258053506892,False,True,False,,,False,False,True,succinate_presence_mismatch
28,P1G03,G03_P1_FM_0.00046_0.00000_T0,G03_P1_FM_0_00046_0_00000_T0.D,1061394.0,601.0,1193734.0,1761,359.0,969575,2120.0,0.0019973732657241,0.0005662364776887,P1,G03,G,3,0.002186525023850656,0.0005662364776887754,False,True,False,,,False,False,True,succinate_presence_mismatch
29,P2H07,H07_P2_AtOa_3.75000_2.50000_T7,H07_P2_AtOa_3_75000_2_50000_T7.D,1086007.0,355.0,1216741.0,371,44.0,1056445,415.0,0.000382133816817,0.0003268855541446,P2,H07,H,7,0.00039282688639730417,0.0003268855541446786,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
30,P2C02,C02_P2_AtC2_3.75000_2.50000_T2,C02_P2_AtC2_3_75000_2_50000_T2.D,1084826.0,343.0,1217941.0,246,14.0,939159,260.0,0.0002396697719265,0.00031617973758,P2,C02,C,2,0.0002768434311974863,0.0003161797375800359,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
31,P1G02,G02_P1_At_0.00000_2.50000_T6,G02_P1_At_0_00000_2_50000_T6.D,994985.0,346.0,1106011.0,21973311,4755886.0,1063062,26729197.0,26.8639195565762,0.0003477439358382,P1,G02,G,2,25.14359181308334,0.0003477439358382287,True,False,False,,,False,False,True,glucose_presence_mismatch
32,P1F07,F07_P1_AtOa_3.75000_0.00000_T5,E07_P1_AtOa_3_75000_0_00000_T4.D,1028008.0,426.0,1158521.0,1354,62.0,910975,1416.0,0.0013774211873837,0.0004143936623061,P1,F07,F,7,0.0015543785504541837,0.0004143936623061299,False,True,False,,,False,False,True,succinate_presence_mismatch
33,P2C07,C07_P2_AtOa_3.75000_2.50000_T2,C07_P2_AtOa_3_75000_2_50000_T2.D,1009364.0,358.0,1147308.0,1041865,136151.0,999143,1178016.0,1.1670873936459,0.0003546787878307,P2,C07,C,7,1.1790264256467793,0.0003546787878307528,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
34,P1A04,A04_P1_Oa_3.75000_0.00000_T0,A04_P1_Oa_3_75000_0_00000_T0.D,1049737.0,2376537.0,1233520.0,112,25.0,971960,137.0,0.0001305088798432,2.26393563340151,P1,A04,A,4,0.00014095230256389152,2.263935633401509,False,True,False,,,False,False,True,succinate_presence_mismatch
35,P1H06,H06_P1_FM_0.00000_0.00008_T0,H06_P1_FM_0_00000_0_00008_T0.D,842435.0,402.0,945476.0,2046,93.0,733411,2139.0,0.0025390682960703,0.0004771881510146,P1,H06,H,6,0.0029165092969699116,0.0004771881510146183,True,False,False,,,False,False,True,glucose_presence_mismatch
36,P1A06,A06_P1_FM_0.00000_2.50000_T0,A06_P1_FM_0_00000_2_50000_T0.D,1019633.0,340.0,1145888.0,7518094,1241885.0,1034509,8759979.0,8.59130589143349,0.0003334533111423,P1,A06,A,6,8.467764901030344,0.0003334533111423424,True,False,False,,,False,False,True,glucose_presence_mismatch
37,P2E06,E06_P2_FM_0.00000_0.00488_T0,E06_P2_FM_0_00000_0_00488_T0.D,1144906.0,531.0,1263561.0,6937,1183.0,1024959,8120.0,0.0070922853055185,0.0004637935341416,P2,E06,E,6,0.007922268110236604,0.0004637935341416675,True,False,False,,,False,False,True,glucose_presence_mismatch
38,P2C06,C06_P2_FM_0.00000_0.15625_T0,C06_P2_FM_0_00000_0_15625_T0.D,1080746.0,203.0,1220597.0,276303,33608.0,1062004,309911.0,0.286756555194282,0.0001878332189062,P2,C06,C,6,0.2918171682969179,0.00018783321890619999,True,False,False,,,False,False,True,glucose_presence_mismatch
39,P1D04,D04_P1_Oa_3.75000_0.00000_T3,D04_P1_Oa_3_75000_0_00000_T3.D,1240052.0,245.0,1405049.0,316,12.0,1150950,328.0,0.0002645050368855,0.0001975723598687,P1,D04,D,4,0.00028498197141491814,0.00019757235986877969,False,True,False,,,False,False,True,succinate_presence_mismatch
40,P2F01,F01_P2_At_3.75000_2.50000_T5,F01_P2_At_3_75000_2_50000_T5.D,1008914.0,954.0,1140779.0,7073491,1154765.0,1026260,8228256.0,8.155557361678,0.0009455711785147,P2,F01,F,1,8.017710911464931,0.0009455711785147198,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
41,P2G03,G03_P2_FM_0.00046_0.00000_T0,H02_P1_At_0_00000_2_50000_T7.D,834206.0,387.0,937305.0,1722,138.0,705962,1860.0,0.0022296650947128,0.0004639141890612,P2,G03,G,3,0.002634702717710018,0.0004639141890612151,False,True,False,,,False,False,True,succinate_presence_mismatch
42,P2F07,F07_P2_AtOa_3.75000_2.50000_T5,E07_P2_AtOa_3_75000_2_50000_T4.D,930853.0,361.0,1045316.0,133,31.0,835267,164.0,0.0001761824906832,0.0003878163361991,P2,F07,F,7,0.00019634440244855835,0.0003878163361991636,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
45,P2H05,H05_P2_OaC2_3.75000_2.50000_T7,C04_P1_Oa_3_75000_0_00000_T2.D,813126.0,349.0,926588.0,281,46.0,796826,327.0,0.0004021516960471,0.000429207773457,P2,H05,H,5,0.0004103781754109429,0.0004292077734570042,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
46,P1E07,E07_P1_AtOa_3.75000_0.00000_T4,G03_P2_FM_0_00046_0_00000_T0.D,746079.0,139.0,895209.0,4142,686.0,665343,4828.0,0.0064711645817668,0.0001863073481494,P1,E07,E,7,0.007256407597284408,0.0001863073481494587,False,True,False,,,False,False,True,succinate_presence_mismatch
47,P2C01,C01_P2_At_3.75000_2.50000_T2,F07_P2_AtOa_3_75000_2_50000_T5.D,907581.0,58.0,1023019.0,6169685,997877.0,927311,7167562.0,7.89743504987434,6.39061417107674e-05,P2,C01,C,1,7.729404698100206,6.390614171076741e-05,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
48,P2B06,B06_P2_FM_0.00000_0.62500_T0,B09_P2_none_0_00000_0_00000_none.D,972305.0,44.0,1085877.0,1387315,185760.0,911460,1573075.0,1.61788224888281,4.52532898627488e-05,P2,B06,B,6,1.725884844096285,4.525328986274883e-05,True,False,False,,,False,False,True,glucose_presence_mismatch
49,P1A08,A08_P1_AtOa_0.00000_2.50000_T0,A09_P2_none_0_00000_0_00000_none.D,397913.0,128.0,428582.0,5678372,892712.0,413476,6571084.0,16.5138711225821,0.0003216783568267,P1,A08,A,8,15.892298464723467,0.00032167835682674355,True,False,False,,,False,False,True,glucose_presence_mismatch
50,P1B05,B05_P1_Oa_0.00000_2.50000_T1,H05_P2_OaC2_3_75000_2_50000_T7.D,959900.0,345.0,1088946.0,6707552,1082131.0,968111,7789683.0,8.11509844775497,0.0003594124387957,P1,B05,B,5,8.046270520632449,0.00035941243879570787,True,False,False,,,False,False,True,glucose_presence_mismatch
51,P1F06,F06_P1_FM_0.00000_0.00122_T0,F07_P1_AtOa_3_75000_0_00000_T5.D,793130.0,,887172.0,1010,175.0,696292,1185.0,0.0014940804155687,,P1,F06,F,6,0.0017018722030412528,,True,False,False,,,False,False,True,glucose_presence_mismatch
52,P1B01,B01_P1_At_3.75000_0.00000_T1,C01_P2_At_3_75000_2_50000_T2.D,960081.0,222.0,1146538.0,13528851,2493098.0,1012613,16021949.0,16.6881221480271,0.0002312304899274,P1,B01,B,1,15.822381304605017,0.00023123048992741238,False,True,False,,,False,False,True,succinate_presence_mismatch
53,P2D02,D02_P2_AtC2_3.75000_2.50000_T3,B06_P2_FM_0_00000_0_62500_T0.D,919897.0,235.0,1120374.0,781,57.0,884990,838.0,0.000910971554424,0.0002554633834005,P2,D02,D,2,0.0009469033548401677,0.0002554633834005329,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
54,P2G02,G02_P2_AtC2_3.75000_2.50000_T6,A08_P1_AtOa_0_00000_2_50000_T0.D,1021828.0,258.0,1160829.0,284,10.0,914476,294.0,0.0002877196553627,0.000252488677155,P2,G02,G,2,0.00032149558873059545,0.0002524886771550594,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
55,P1D07,D07_P1_AtOa_3.75000_0.00000_T3,B05_P1_Oa_0_00000_2_50000_T1.D,795912.0,250.0,970303.0,195,20.0,674020,215.0,0.0002701303661711,0.0003141050769431,P1,D07,D,7,0.00031898163259250467,0.00031410507694317965,False,True,False,,,False,False,True,succinate_presence_mismatch
56,P1E05,E05_P1_Oa_0.00000_2.50000_T4,F06_P1_FM_0_00000_0_00122_T0.D,978610.0,277.0,1155552.0,7714549,1286091.0,1057609,9000640.0,9.19737178242609,0.0002830545365365,P1,E05,E,5,8.510366307397158,0.0002830545365365161,True,False,False,,,False,False,True,glucose_presence_mismatch
57,P1F04,F04_P1_Oa_3.75000_0.00000_T5,B01_P1_At_3_75000_0_00000_T1.D,481658.0,231.0,538221.0,621,118.0,428844,739.0,0.0015342836618513,0.0004795934044488,P1,F04,F,4,0.0017232373543759503,0.00047959340444879976,False,True,False,,,False,False,True,succinate_presence_mismatch
58,P2C03,C03_P2_FM_0.23438_0.00000_T0,D02_P2_AtC2_3_75000_2_50000_T3.D,818763.0,83651.0,969606.0,318,14.0,712631,332.0,0.0004054897448956,0.102167538103212,P2,C03,C,3,0.0004658792558841813,0.1021675381032118,False,True,False,,,False,False,True,succinate_presence_mismatch
59,P1A01,A01_P1_At_3.75000_0.00000_T0,G02_P2_AtC2_3_75000_2_50000_T6.D,923607.0,99.0,1047727.0,13348765,2473297.0,914122,15822062.0,17.1307298450531,0.0001071884470342,P1,A01,A,1,17.308479612130547,0.00010718844703429056,False,True,False,,,False,False,True,succinate_presence_mismatch
60,P1C05,C05_P1_Oa_0.00000_2.50000_T2,D07_P1_AtOa_3_75000_0_00000_T3.D,1006460.0,429.0,1096495.0,6616769,1056196.0,1031372,7672965.0,7.62371579595811,0.0004262464479462,P1,C05,C,5,7.439570785322852,0.0004262464479462671,True,False,False,,,False,False,True,glucose_presence_mismatch
61,P2E01,E01_P2_At_3.75000_2.50000_T4,E05_P1_Oa_0_00000_2_50000_T4.D,873945.0,252.0,972561.0,5969217,943705.0,889859,6912922.0,7.91001950923685,0.0002883476648988,P2,E01,E,1,7.768558839096981,0.00028834766489882084,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
62,P1G08,G08_P1_AtOa_0.00000_2.50000_T6,F04_P1_Oa_3_75000_0_00000_T5.D,918574.0,208.0,1014233.0,5995680,944419.0,935269,6940099.0,7.55529657926308,0.0002264379353214,P1,G08,G,8,7.420430913459122,0.00022643793532148743,True,False,False,,,False,False,True,glucose_presence_mismatch
63,P2E03,E03_P2_FM_0.00732_0.00000_T0,C03_P2_FM_0_23438_0_00000_T0.D,748520.0,1646.0,838695.0,500,8.0,626773,508.0,0.0006786725805589,0.0021990060385828,P2,E03,E,3,0.0008105007714116594,0.0021990060385828035,False,True,False,,,False,False,True,succinate_presence_mismatch
64,P2B01,B01_P2_At_3.75000_2.50000_T1,A01_P1_At_3_75000_0_00000_T0.D,891278.0,341.0,1003539.0,5809945,923492.0,899886,6733437.0,7.5548111812476,0.0003825966757846,P2,B01,B,1,7.4825444556310465,0.0003825966757846598,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
65,P1D08,D08_P1_AtOa_0.00000_2.50000_T3,C05_P1_Oa_0_00000_2_50000_T2.D,463117.0,91.0,550294.0,4841187,742815.0,476001,5584002.0,12.057432571035,0.0001964946223092,P1,D08,D,8,11.731071993546232,0.00019649462230926526,True,False,False,,,False,False,True,glucose_presence_mismatch
66,P1H01,H01_P1_At_3.75000_0.00000_T7,E01_P2_At_3_75000_2_50000_T4.D,1005739.0,436.0,1134712.0,12269683,2204761.0,1050687,14474444.0,14.3918491775699,0.0004335120742061,P1,H01,H,1,13.77617120988458,0.00043351207420613103,False,True,False,,,False,False,True,succinate_presence_mismatch
67,P2A01,A01_P2_At_3.75000_2.50000_T0,G08_P1_AtOa_0_00000_2_50000_T6.D,1058175.0,355.0,1195731.0,20666197,4359373.0,1092974,25025570.0,23.6497460249959,0.0003354832612753,P2,A01,A,1,22.896766071288063,0.0003354832612753089,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
68,P2B04,B04_P2_Oa_3.75000_2.50000_T1,E03_P2_FM_0_00732_0_00000_T0.D,790752.0,1332715.0,997740.0,5888418,933798.0,822956,6822216.0,8.62750394561127,1.68537670470641,P2,B04,B,4,8.289891561638775,1.685376704706406,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
69,P1F05,F05_P1_Oa_0.00000_2.50000_T5,B01_P2_At_3_75000_2_50000_T1.D,994617.0,246.0,1116001.0,6977370,1126597.0,1039897,8103967.0,8.1478267514028,0.0002473313848446,P1,F05,F,5,7.793047773000596,0.00024733138484461857,True,False,False,,,False,False,True,glucose_presence_mismatch
70,P1H08,H08_P1_AtOa_0.00000_2.50000_T7,D08_P1_AtOa_0_00000_2_50000_T3.D,902507.0,22.0,1009254.0,4725931,719151.0,954273,5445082.0,6.03328506039288,2.43765422318054e-05,P1,H08,H,8,5.706000274554556,2.4376542231805404e-05,True,False,False,,,False,False,True,glucose_presence_mismatch
71,P1E02,E02_P1_At_0.00000_2.50000_T4,H01_P1_At_3_75000_0_00000_T7.D,966461.0,589.0,1067746.0,20042839,4122440.0,1019859,24165279.0,25.0038842746888,0.0006094400084431,P1,E02,E,2,23.69472544734125,0.0006094400084431757,True,False,False,,,False,False,True,glucose_presence_mismatch
72,P1C03,C03_P1_FM_0.23438_0.00000_T0,A01_P2_At_3_75000_2_50000_T0.D,990998.0,97064.0,1167679.0,14708,2344.0,872738,17052.0,0.0172068964821322,0.097945707256725,P1,C03,C,3,0.019538509839149894,0.09794570725672504,False,True,False,,,False,False,True,succinate_presence_mismatch
73,P2A08,A08_P2_AtOaC2_3.75000_2.50000_T0,B04_P2_Oa_3_75000_2_50000_T1.D,117273.0,2119676.0,156446.0,6940654,1126446.0,88009,8067100.0,68.7890648316322,18.0747145549274,P2,A08,A,8,91.66221636423548,18.074714554927393,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
74,P2E05,E05_P2_OaC2_3.75000_2.50000_T4,F05_P1_Oa_0_00000_2_50000_T5.D,856558.0,1823.0,955302.0,467,66.0,832655,533.0,0.0006222579206545,0.0021282855334956,P2,E05,E,5,0.0006401210585416529,0.0021282855334956888,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
75,P1A02,A02_P1_At_0.00000_2.50000_T0,H08_P1_AtOa_0_00000_2_50000_T7.D,960168.0,726.0,1075435.0,7173756,1171061.0,1018646,8344817.0,8.69099678389615,0.0007561176794061,P1,A02,A,2,8.192067705562089,0.0007561176794061039,True,False,False,,,False,False,True,glucose_presence_mismatch
