in,id,sample_name,fname,norvaline_area,succinate_area,norleucine_area,glucose1_area,glucose2_area,sorbitol_area,glucose_area,glucose_area_normalized,succinate_area_normalized,plate,well,row,col,glucose_ratio,succinate_ratio,exp_glucose,exp_succinate,is_blankcol,thr_glucose,thr_succinate,glucose_present,succinate_present,mixup_flag,reasons
88,P2D07,D07_P2_AtOa_3.75000_2.50000_T3,A03_P2_FM_3_75000_0_00000_T0.D,869196.0,379.0,986618.0,589,13.0,836131,602.0,0.0006925940754444,0.0004360351405206,P2,D07,D,7,0.0007199828734970956,0.00043603514052066507,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
89,P2D03,D03_P2_FM_0.05859_0.00000_T0,H01_P2_At_3_75000_2_50000_T7.D,831131.0,12372.0,971715.0,222,16.0,707520,238.0,0.0002863567837079,0.0148857400337612,P2,D03,D,3,0.000336386250565355,0.014885740033761224,False,True,False,,,False,False,True,succinate_presence_mismatch
90,P2C05,C05_P2_OaC2_3.75000_2.50000_T2,B03_P2_FM_0_93750_0_00000_T0.D,938352.0,424.0,1046923.0,473263,57614.0,956345,530877.0,0.565754642181186,0.0004518560199157,P2,C05,C,5,0.5551103419790975,0.0004518560199157672,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
91,P2H03,H03_P2_FM_0.00011_0.00000_T0,D03_P1_FM_0_05859_0_00000_T0.D,694958.0,217.0,748774.0,274,20.0,610176,294.0,0.0004230471481729,0.0003122490855562,P2,H03,H,3,0.0004818281938325991,0.00031224908555624943,False,True,False,,,False,False,True,succinate_presence_mismatch
92,P1G05,G05_P1_Oa_0.00000_2.50000_T6,E08_P1_AtOa_0_00000_2_50000_T4.D,953063.0,311.0,1088647.0,7016511,1113241.0,1059032,8129752.0,8.53013074686563,0.0003263163085756,P1,G05,G,5,7.676587676293067,0.00032631630857561357,True,False,False,,,False,False,True,glucose_presence_mismatch
93,P2H02,H02_P2_AtC2_3.75000_2.50000_T7,D07_P2_AtOa_3_75000_2_50000_T3.D,989533.0,269.0,1118601.0,602,80.0,860541,682.0,0.000689214002969,0.0002718454058631,P2,H02,H,2,0.0007925247024836702,0.0002718454058631698,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
94,P2F05,F05_P2_OaC2_3.75000_2.50000_T5,D03_P2_FM_0_05859_0_00000_T0.D,842232.0,4215.0,940592.0,4249467,640321.0,872415,4889788.0,5.80574948470255,0.0050045593138232,P2,F05,F,5,5.604887582171329,0.00500455931382327,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
95,P1F03,F03_P1_FM_0.00183_0.00000_T0,C05_P2_OaC2_3_75000_2_50000_T2.D,1015729.0,903.0,1125565.0,1610,309.0,909020,1919.0,0.0018892834604505,0.000889016657002,P1,F03,F,3,0.0021110646630437173,0.0008890166570020153,False,True,False,,,False,False,True,succinate_presence_mismatch
96,P2D04,D04_P2_Oa_3.75000_2.50000_T3,H03_P2_FM_0_00011_0_00000_T0.D,809642.0,918720.0,1018687.0,5016117,774185.0,863366,5790302.0,7.15168185444925,1.13472374209836,P2,D04,D,4,6.7066597480095345,1.1347237420983596,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
97,P2G06,G06_P2_FM_0.00000_0.00031_T0,G05_P1_Oa_0_00000_2_50000_T6.D,828371.0,545.0,918667.0,864,152.0,777277,1016.0,0.0012265035835392,0.0006579177687292,P2,G06,G,6,0.0013071273175457399,0.0006579177687292288,True,False,False,,,False,False,True,glucose_presence_mismatch
98,P1F01,F01_P1_At_3.75000_0.00000_T5,H02_P2_AtC2_3_75000_2_50000_T7.D,750432.0,310.0,834509.0,10442519,1798285.0,760447,12240804.0,16.3116764743508,0.0004130953903884,P1,F01,F,1,16.096853561129176,0.0004130953903884696,False,True,False,,,False,False,True,succinate_presence_mismatch
99,P1D02,D02_P1_At_0.00000_2.50000_T3,F05_P2_OaC2_3_75000_2_50000_T5.D,1013157.0,469.0,1075057.0,20921472,4389786.0,1096285,25311258.0,24.982562426159,0.0004629094997122,P1,D02,D,2,23.088209726485356,0.00046290949971228545,True,False,False,,,False,False,True,glucose_presence_mismatch
100,P2G01,G01_P2_At_3.75000_2.50000_T6,F03_P1_FM_0_00183_0_00000_T0.D,894865.0,332.0,993144.0,6197750,981663.0,931982,7179413.0,8.02290066099356,0.0003710056824213,P2,G01,G,1,7.703381610374449,0.0003710056824213708,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
101,P2A05,A05_P2_OaC2_3.75000_2.50000_T0,D04_P2_Oa_3_75000_2_50000_T3.D,851708.0,1822037.0,1071702.0,6535355,1039254.0,952115,7574609.0,8.89343413470344,2.13927425831388,P2,A05,A,5,7.9555610404205375,2.139274258313882,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
102,P2F06,F06_P2_FM_0.00000_0.00122_T0,G06_P2_FM_0_00000_0_00031_T0.D,702045.0,301.0,827670.0,1194,257.0,628858,1451.0,0.0020668190785491,0.0004287474449643,P2,F06,F,6,0.002307357145810342,0.00042874744496435415,True,False,False,,,False,False,True,glucose_presence_mismatch
103,P2C04,C04_P2_Oa_3.75000_2.50000_T2,F01_P1_At_3_75000_0_00000_T5.D,880688.0,1491229.0,1119647.0,6732768,1075748.0,995543,7808516.0,8.866381737914,1.69325459186454,P2,C04,C,4,7.843474365245901,1.6932545918645423,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
104,P2E08,E08_P2_AtOaC2_3.75000_2.50000_T4,D02_P1_At_0_00000_2_50000_T3.D,128085.0,281.0,128115.0,213,41.0,59082,254.0,0.0019830581254635,0.0021938556427372,P2,E08,E,8,0.0042991097119257984,0.0021938556427372447,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
105,P1C01,C01_P1_At_3.75000_0.00000_T2,G01_P2_At_3_75000_2_50000_T6.D,852449.0,500.0,943007.0,11267236,1971847.0,876842,13239083.0,15.5306452350815,0.0005865453534463,P1,C01,C,1,15.098595870179576,0.0005865453534463646,False,True,False,,,False,False,True,succinate_presence_mismatch
106,P2G04,G04_P2_Oa_3.75000_2.50000_T6,A05_P2_OaC2_3_75000_2_50000_T0.D,928233.0,559.0,978273.0,269565,32345.0,870664,301910.0,0.325252388139616,0.0006022194858403,P2,G04,G,4,0.3467583361664201,0.0006022194858403009,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
107,P1E01,E01_P1_At_3.75000_0.00000_T4,F06_P2_FM_0_00000_0_00122_T0.D,1055451.0,132.0,1162641.0,14108622,2600583.0,1104629,16709205.0,15.8313412939113,0.0001250650195982,P1,E01,E,1,15.126531170193793,0.00012506501959825704,False,True,False,,,False,False,True,succinate_presence_mismatch
108,P1D06,D06_P1_FM_0.00000_0.03906_T0,C04_P2_Oa_3_75000_2_50000_T2.D,880855.0,477.0,966744.0,47003,6808.0,816610,53811.0,0.061089509624172,0.0005415193192977,P1,D06,D,6,0.06589559275541568,0.0005415193192977278,True,False,False,,,False,False,True,glucose_presence_mismatch
109,P1D05,D05_P1_Oa_0.00000_2.50000_T3,E08_P2_AtOaC2_3_75000_2_50000_T4.D,960297.0,516.0,1042123.0,7257759,1163574.0,1030654,8421333.0,8.76950880821246,0.0005373337623672,P1,D05,D,5,8.170863354724283,0.0005373337623672676,True,False,False,,,False,False,True,glucose_presence_mismatch
110,P1E03,E03_P1_FM_0.00732_0.00000_T0,C01_P1_At_3_75000_0_00000_T2.D,991933.0,1679.0,1081883.0,1416,316.0,908942,1732.0,0.0017460856731251,0.0016926546450213,P1,E03,E,3,0.0019055121228857288,0.0016926546450213875,False,True,False,,,False,False,True,succinate_presence_mismatch
111,P2F08,F08_P2_AtOaC2_3.75000_2.50000_T5,G04_P2_Oa_3_75000_2_50000_T6.D,120229.0,276.0,126054.0,328,60.0,61730,388.0,0.0032271748080745,0.0022956191933726,P2,F08,F,8,0.006285436578648955,0.0022956191933726474,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
112,P1E04,E04_P1_Oa_3.75000_0.00000_T4,E01_P1_At_3_75000_0_00000_T4.D,639876.0,426.0,702355.0,340,102.0,573391,442.0,0.0006907588345241,0.0006657539898355,P1,E04,E,4,0.0007708526991180539,0.0006657539898355306,False,True,False,,,False,False,True,succinate_presence_mismatch
113,P1H05,H05_P1_Oa_0.00000_2.50000_T7,D06_P1_FM_0_00000_0_03906_T0.D,938881.0,275.0,1092125.0,6694719,1061926.0,1056628,7756645.0,8.26158480148176,0.0002929018693529,P1,H05,H,5,7.340942129112611,0.0002929018693529851,True,False,False,,,False,False,True,glucose_presence_mismatch
114,P2B08,B08_P2_AtOaC2_3.75000_2.50000_T1,D05_P1_Oa_0_00000_2_50000_T3.D,94471.0,358.0,94257.0,560,21.0,46794,581.0,0.0061500354606175,0.0037895227106731,P2,B08,B,8,0.01241612172500748,0.0037895227106731167,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
115,P1A05,A05_P1_Oa_0.00000_2.50000_T0,E03_P1_FM_0_00732_0_00000_T0.D,1075400.0,399.0,1205844.0,8551000,1417042.0,1165257,9968042.0,9.26914822391668,0.0003710247349823,P1,A05,A,5,8.554372125634087,0.0003710247349823322,True,False,False,,,False,False,True,glucose_presence_mismatch
116,P1F02,F02_P1_At_0.00000_2.50000_T5,F08_P2_AtOaC2_3_75000_2_50000_T5.D,1002215.0,522.0,1111545.0,20575975,4340588.0,1077915,24916563.0,24.8614947890423,0.0005208463253892,P1,F02,F,2,23.115517457313423,0.0005208463253892628,True,False,False,,,False,False,True,glucose_presence_mismatch
117,P2D08,D08_P2_AtOaC2_3.75000_2.50000_T3,E04_P1_Oa_3_75000_0_00000_T4.D,90371.0,558.0,91600.0,1260,179.0,38824,1439.0,0.0159232497150635,0.0061745471445485,P2,D08,D,8,0.03706470224603338,0.006174547144548583,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
118,P1A03,A03_P1_FM_3.75000_0.00000_T0,H05_P1_Oa_0_00000_2_50000_T7.D,910961.0,2153962.0,1219806.0,681,81.0,880564,762.0,0.0008364792784762,2.36449419898327,P1,A03,A,3,0.0008653544773576934,2.3644941989832717,False,True,False,,,False,False,True,succinate_presence_mismatch
119,P1G01,G01_P1_At_3.75000_0.00000_T6,B08_P2_AtOaC2_3_75000_2_50000_T1.D,1048325.0,1026.0,1168833.0,13469396,2458315.0,1143610,15927711.0,15.1934857987742,0.0009787041232442,P1,G01,G,1,13.927572336723184,0.000978704123244223,False,True,False,,,False,False,True,succinate_presence_mismatch
120,P1B02,B02_P1_At_0.00000_2.50000_T1,A05_P1_Oa_0_00000_2_50000_T0.D,1009644.0,442.0,1128527.0,20224730,4238647.0,1107363,24463377.0,24.2297057180551,0.0004377780683092,P1,B02,B,2,22.091560761918178,0.00043777806830922584,True,False,False,,,False,False,True,glucose_presence_mismatch
121,P2B07,B07_P2_AtOa_3.75000_2.50000_T1,F02_P1_At_0_00000_2_50000_T5.D,969197.0,712.0,1071957.0,3097130,436066.0,960510,3533196.0,3.64548796581087,0.0007346287700023,P2,B07,B,7,3.678458319018022,0.0007346287700023834,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
122,P1C02,C02_P1_At_0.00000_2.50000_T2,D08_P2_AtOaC2_3_75000_2_50000_T3.D,816477.0,471.0,918436.0,19353269,3948789.0,912932,23302058.0,28.5397604586535,0.0005768686686826,P1,C02,C,2,25.524418028944105,0.0005768686686826451,True,False,False,,,False,False,True,glucose_presence_mismatch
123,P2D06,D06_P2_FM_0.00000_0.03906_T0,A03_P1_FM_3_75000_0_00000_T0.D,1034252.0,209.0,1148126.0,50493,6657.0,969613,57150.0,0.0552573260675348,0.0002020784102907,P2,D06,D,6,0.058941041425805966,0.00020207841029072217,True,False,False,,,False,False,True,glucose_presence_mismatch
124,P2G05,G05_P2_OaC2_3.75000_2.50000_T6,G01_P1_At_3_75000_0_00000_T6.D,764035.0,772.0,868227.0,1040,73.0,780682,1113.0,0.001456739547272,0.0010104249150889,P2,G05,G,5,0.0014256765238599071,0.0010104249150889684,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
125,P1F08,F08_P1_AtOa_0.00000_2.50000_T5,B02_P1_At_0_00000_2_50000_T1.D,721552.0,336.0,791233.0,6794871,1072100.0,838696,7866971.0,10.9028469188638,0.000465662904406,P1,F08,F,8,9.380003004664383,0.00046566290440605806,True,False,False,,,False,False,True,glucose_presence_mismatch
126,P1C06,C06_P1_FM_0.00000_0.15625_T0,B07_P2_AtOa_3_75000_2_50000_T1.D,901773.0,335.0,988653.0,257645,30827.0,861684,288472.0,0.319894252766494,0.0003714903861614,P1,C06,C,6,0.3347770180251693,0.0003714903861614841,True,False,False,,,False,False,True,glucose_presence_mismatch
127,P1H03,H03_P1_FM_0.00011_0.00000_T0,C02_P1_At_0_00000_2_50000_T2.D,1003678.0,508.0,1099402.0,629,55.0,925665,684.0,0.0006814934670282,0.0005061384228806,P1,H03,H,3,0.000738928229975207,0.0005061384228806449,False,True,False,,,False,False,True,succinate_presence_mismatch
129,P1B06,B06_P1_FM_0.00000_0.62500_T0,G05_P2_OaC2_3_75000_2_50000_T6.D,847497.0,523.0,941075.0,1082589,134989.0,888007,1217578.0,1.43667529206593,0.0006171113290076,P1,B06,B,6,1.3711355878951406,0.0006171113290076543,True,False,False,,,False,False,True,glucose_presence_mismatch
130,P1H02,H02_P1_At_0.00000_2.50000_T7,F08_P1_AtOa_0_00000_2_50000_T5.D,951875.0,553.0,1049785.0,21229368,4476527.0,1100937,25705895.0,27.0055364412344,0.0005809586342744,P1,H02,H,2,23.34910626130287,0.0005809586342744583,True,False,False,,,False,False,True,glucose_presence_mismatch
131,P2E07,E07_P2_AtOa_3.75000_2.50000_T4,C06_P1_FM_0_00000_0_15625_T0.D,482770.0,59296.0,548556.0,1282,179.0,462164,1461.0,0.0030262858089773,0.122824533421712,P2,E07,E,7,0.003161215499260003,0.1228245334217122,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
133,P1C08,C08_P1_AtOa_0.00000_2.50000_T2,C09_P1_none_0_00000_0_00000_none.D,484743.0,358.0,492230.0,6000419,936257.0,529983,6936676.0,14.3100075710222,0.0007385356776683,P1,C08,C,8,13.088487743946503,0.0007385356776683727,True,False,False,,,False,False,True,glucose_presence_mismatch
134,P1C04,C04_P1_Oa_3.75000_0.00000_T2,B06_P1_FM_0_00000_0_62500_T0.D,1013172.0,382.0,1131078.0,1490,265.0,971640,1755.0,0.0017321836766116,0.0003770337119462,P1,C04,C,4,0.0018062245276028158,0.00037703371194624407,False,True,False,,,False,False,True,succinate_presence_mismatch
