species,reactor,sample_time,dilution,count,comment,Unnamed: 5,average,stdev,total,composition
oa,M2,54.124,-5,20|19|19,AtOA,,386666666.6666666,11547005.383792516,1853333333.3333335,0.2086330935251798
oa,M3,54.124,-6,3|3|2,AtOA,,533333333.3333333,115470053.83792515,3866666666.666667,0.1379310344827586
oa,M0,70.4,-6,5|11|7,AtOA,,1533333333.3333333,611010092.6607786,1933333333.3333333,0.7931034482758621
oa,M1,70.4,-4,8|9|5,AtOA,,14666666.666666666,4163331.9989322657,114666666.66666666,0.12790697674418605
oa,M2,70.4,-6,4|3|3,AtOA,,666666666.6666666,115470053.83792515,2266666666.6666665,0.29411764705882354
oa,M3,70.4,-6,3|6|6,AtOA,,1000000000.0,346410161.51377547,2733333333.333333,0.3658536585365854
oa,M0,78.0,-6,5|9|8,AtOA,,1466666666.6666667,416333199.89322656,1733333333.3333335,0.8461538461538461
oa,M1,78.0,-4,5|6|5,AtOA,,10666666.666666666,1154700.5383792515,84000000.0,0.12698412698412698
oa,M2,78.0,-6,5|3|4,AtOA,,800000000.0,200000000.0,2333333333.333333,0.3428571428571429
oa,M3,78.0,-6,5|5|8,AtOA,,1200000000.0,346410161.51377547,4000000000.0,0.3
oa,M0,95.0,-6,4|6|7,AtOA,,1133333333.3333333,305505046.3303893,1273333333.3333333,0.8900523560209423
oa,M1,95.0,-4,10|12|10,AtOA,,21333333.333333332,2309401.076758503,134666666.66666666,0.15841584158415842
oa,M2,95.0,-6,4|5|4,AtOA,,866666666.6666666,115470053.83792515,2400000000.0,0.3611111111111111
oa,M3,95.0,-6,4|5|4,AtOA,,866666666.6666666,115470053.83792515,2333333333.3333335,0.3714285714285714
