exp_time,od_measured,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,reactor,raw_FP1_emit1,raw_FP1_emit2,raw_FP2_emit1,raw_FP2_emit2,raw_FP3_emit1,raw_FP3_emit2,od_calibrated
0.08344722222222223,12147.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.2004283403505318
0.10012777777777777,12240.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19791286477356573
0.11681388888888887,12280.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19684335017286658
0.13350555555555557,12372.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19439356125166363
0.15019444444444444,12372.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19439289802695026
0.166875,12388.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19397334546524192
0.18355833333333332,12401.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19363173685041524
0.20024722222222222,12413.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.1933129581773425
0.21692499999999998,12422.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19305591216136664
0.23360833333333333,12390.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.1939256577979518
0.2502888888888889,12344.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.1951285741066231
0.2669666666666667,12298.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19636260273352324
0.28365555555555555,12274.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19700977266273023
0.30033611111111114,12234.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19808519633630217
0.3170194444444444,12215.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.1985892991408167
0.3337,12205.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.1988540784847057
0.3503777777777778,12193.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19916886574964332
0.3670666666666667,12185.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.19940313419386424
