project,exp_ID,linegroup,Experimenter,Experiment description,Date,Device,Temperature,Shaking,CO2,species,carbon_source,cs_conc,base_media,inhibitor,inhibitor_conc,comments
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_D5,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet glucose,Succinate,15,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_D6,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet glucose,Succinate,15,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_D7,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate glucose c1,Succinate,30,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_D8,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate glucose c1,Succinate,30,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_D9,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate glucose c1,Succinate,30,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E1,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate,Glucose,15,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E10,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate glucose c2,Glucose,30,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E11,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate glucose c2,Glucose,30,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E12,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate glucose c2,Glucose,30,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E2,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate,Glucose,15,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E3,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate,Glucose,15,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E4,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet glucose,Glucose,15,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E5,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet glucose,Glucose,15,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E6,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet glucose,Glucose,15,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E7,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate glucose c1,Glucose,30,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E8,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate glucose c1,Glucose,30,M9,,0,Pellet
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_E9,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At pellet succinate glucose c1,Glucose,30,M9,,0,Pellet
