,v_succ,v_gluc,v_succ_lag,v_gluc_lag,K_gluc,K_succ,q_succ,q_gluc,a,N0,lag_succ,lag_succ_width,lag_gluc,lag_gluc_width
At,0.61,0.61,0.28,0.7,0.6,0.05,0.023,0.034,1,0.006,0,0,5.5,6
Oa,1.1,0.54,2.3,1.4,2,1.8,0.011,0.01,0,0.004,7,2,13.5,3
