,v_succ_lag,v_gluc_lag,K_gluc,K_succ,q_succ,q_gluc,a,N0,lag_succ,lag_succ_width,lag_gluc,lag_gluc_width
At,0.8,0.9,0.6,0.5,0.028,0.06,0,0.006,3,3,10.5,12
Oa,2.3,2,2,1.8,0.011,0.018,0,0.0045,7,2,19,3
