,v_succ,v_gluc,K_gluc,K_succ,q_succ,q_gluc,a,lag_succ,lag_gluc,N0,t_lag
At,0.7,1.1,0.5,1.5,0.075,0.058,1,,,0.004,2.5
Oa,1,0.45,0.4,0.01,0.038,0.018,1,,,0.005,9
