,v_succ_lag,v_gluc_lag,K_gluc,K_succ,q_succ,q_gluc,a,N0,lag_succ,lag_succ_width,lag_gluc,lag_gluc_width
At,1,0.8,0.7,2.2,0.076,0.12,1,0.003,3.5,3,9.5,10
Oa,1.8,1.3,2,1.5,0.04,0.052,1,0.002,8.5,4,20,9
