,v_succ,v_gluc,v_succ_lag,v_gluc_lag,K_gluc,K_succ,q_succ,q_gluc,a,N0,lag_succ,lag_succ_width,lag_gluc,lag_gluc_width
At,0.61,0.61,3.5,1.5,0.6,3,0.033,0.088,1,0.006,6,6,12.5,11
Oa,1.1,0.54,2.4,2,2,3,0.021,0.038,0,0.005,7.6,3,21,4
