od,mcherry
0.0021666666666665664,15.666666666666664
0.0021999999999999667,21.999999999999996
0.0026666666666666002,24.0
0.0033333333333332997,26.0
0.0044333333333333,41.66666666666666
0.005166666666666567,48.666666666666664
0.006066666666666633,51.0
0.0065333333333333,57.0
0.0074,58.0
0.007466666666666601,64.66666666666667
0.007833333333333302,77.33333333333333
0.007966666666666634,91.0
0.008499999999999968,111.33333333333336
0.009499999999999967,116.33333333333336
0.009733333333333268,116.99999999999999
0.010199999999999933,119.66666666666667
0.0105,122.0
0.010866666666666634,133.66666666666666
0.011199999999999965,143.33333333333334
0.0117666666666666,155.0
0.013066666666666634,165.33333333333334
0.013633333333333266,172.33333333333334
0.014533333333333266,186.33333333333334
0.015499999999999932,201.3333333333333
0.016333333333333266,208.0
0.016799999999999968,211.3333333333333
0.017399999999999968,218.33333333333334
0.017933333333333232,232.66666666666663
0.01839999999999997,238.3333333333333
0.018933333333333302,240.0
0.019733333333333266,255.66666666666666
0.02039999999999997,272.0
0.021099999999999997,283.6666666666667
0.021933333333333267,284.3333333333333
0.022599999999999967,306.6666666666667
0.0232333333333333,329.0
0.023833333333333265,337.3333333333333
0.02469999999999993,358.3333333333333
0.0257666666666666,389.0
0.026933333333333264,397.6666666666667
0.027366666666666668,431.0
0.028399999999999898,453.6666666666667
0.02909999999999993,461.0
0.030766666666666637,516.6666666666666
0.03259999999999997,550.0
0.03399999999999993,576.0
0.037833333333333226,618.6666666666666
0.0398333333333333,661.6666666666666
0.04279999999999993,710.0
0.0449666666666666,754.6666666666666
0.0464666666666666,761.3333333333334
0.0479666666666666,785.6666666666666
0.048733333333333295,818.0
0.049866666666666636,896.3333333333334
0.05023333333333327,943.0
0.052699999999999934,995.6666666666666
0.0537333333333333,1042.0
0.05609999999999996,1083.0
0.05786666666666663,1141.6666666666667
0.058100000000000006,1160.6666666666667
0.05889999999999993,1178.3333333333333
0.0596666666666666,1212.0
0.060133333333333296,1261.6666666666667
0.062033333333333274,1273.6666666666667
0.06406666666666659,1323.6666666666667
0.06469999999999997,1366.3333333333333
0.0656666666666666,1387.6666666666667
0.06566666666666664,1408.6666666666667
0.0662666666666666,1446.3333333333333
0.06799999999999994,1474.0
0.06863333333333327,1476.6666666666667
0.07013333333333334,1512.0
0.0723333333333333,1593.0
0.07349999999999994,1653.3333333333333
0.07593333333333326,1668.6666666666667
0.07733333333333327,1691.0
0.07963333333333326,1728.3333333333333
0.0815333333333333,1754.6666666666667
0.08486666666666659,1828.3333333333333
0.08600000000000001,1869.0
0.08793333333333331,1896.6666666666667
0.0894666666666666,1920.3333333333333
0.09186666666666664,1934.3333333333333
0.09409999999999996,2014.9999999999998
0.09616666666666662,2062.6666666666665
0.09886666666666664,2083.6666666666665
0.10183333333333333,2136.6666666666665
0.10596666666666664,2190.0
0.10963333333333329,2245.3333333333335
