condition,mumax_h-1,dilution_rate_h-1,n_steady_state_points,Km_peak_area,yield_cfu_per_peak_area,n0_cfu_ml,s0_peak_area,sin_peak_area,n_star_cfu_ml,n_star_std_cfu_ml,s_star_peak_area,s_star_std_peak_area
succinate,0.877,0.15,3,0.002509988082685062,668241316.5532582,279999999.99999994,2.2950981384294256,2.2950981384294256,1533333333.3333333,66666666.66666663,0.0005178792467713332,0.00012446123341169156
glucose,0.573,0.15,3,21.441942923701895,62867973.40947212,513333333.3333333,8.554372125634087,8.554372125634087,59777777.77777777,42249698.662085585,7.603525859468758,0.23474113426729004
