condition,mumax,Km,yield,n0,s0,s_in,cost,success,message
succinate,0.877,0.0028490199004357073,563511127.7833669,279999999.99999994,2.2950981384294256,2.2950981384294256,3.695304140808749,True,`ftol` termination condition is satisfied.
glucose,0.573,5.8552444393025675,13739015.195518393,513333333.3333333,8.554372125634087,8.554372125634087,0.31442652342903876,True,`ftol` termination condition is satisfied.
